,online_order,book_table,rate,votes,location,rest_type,cuisines,amount,menu_item
118,0,0,3.8,148,4,62,873,150,5047
119,1,0,2.9,177,30,20,1211,700,5047
120,1,0,3.7,136,1,62,1507,600,5047
121,1,0,4.1,185,30,62,1022,200,5047
122,1,0,3.8,155,54,20,1597,400,5047
123,1,0,3.8,42,1,62,1589,300,2891
124,1,0,3.8,286,4,20,1156,600,5047
125,1,0,3.8,160,1,20,1196,700,5047
126,1,0,3.8,59,1,20,1196,750,5047
127,1,0,4,89,30,62,1551,200,5047
128,1,0,3.9,40,4,20,1280,600,5047
129,1,0,2.5,35,4,62,817,200,5047
130,1,0,3.6,62,1,65,985,600,5047
131,1,0,4.1,139,30,20,1277,550,5047
132,1,0,3.7,237,1,62,1571,200,3163
133,1,0,3.9,388,1,20,299,650,5047
134,1,0,3.9,128,46,20,1568,500,103
135,1,1,4.1,1875,30,20,1159,1200,5047
136,1,0,3.8,90,1,13,332,650,5047
137,1,0,4.2,179,1,29,1465,600,5047
138,1,0,4.3,275,4,62,1547,100,2701
139,1,0,3.7,323,30,20,609,850,5047
140,1,0,4.3,322,30,20,1547,400,5047
141,1,0,2.6,157,30,13,346,450,5047
142,1,0,3.9,543,4,62,1571,300,2710
143,1,0,3.7,180,1,13,496,500,5047
144,1,0,4.2,444,4,62,1547,100,3895
145,1,0,3.9,134,30,62,1647,400,4179
146,1,0,3.8,577,30,20,1421,900,5047
147,1,0,3.9,144,30,20,1268,550,5047
148,1,0,4.1,787,1,20,594,800,5047
